School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
Idaho,30,12,18,.400,-2.19,0.33,7,11,6,8,6,8,2050,2079,63.3,107.0,.376,.341,.568,51.5,55.1,6.4,7.7,.529,18.3,33.1,.279
Illinois-Chicago,34,18,16,.529,-1.78,-0.69,7,9,12,4,4,10,2136,2134,63.8,97.4,.351,.365,.509,45.9,57.8,10.1,7.7,.462,16.8,28.4,.264
Illinois State,33,18,15,.545,9.63,3.72,8,10,11,5,5,8,2460,2265,69.3,106.8,.344,.364,.552,47.4,56.3,10.4,11.9,.518,16.2,29.5,.249
Illinois,36,23,13,.639,13.23,10.08,8,10,12,4,6,6,2465,2332,65.5,104.2,.310,.419,.516,46.6,42.5,10.4,11.5,.479,14.7,33.1,.225
Indiana State,33,18,15,.545,5.08,5.64,9,9,11,3,4,10,2159,2164,65.3,98.7,.420,.339,.527,47.0,53.2,8.5,8.6,.483,17.2,26.9,.297
Indiana,36,29,7,.806,24.90,8.38,14,4,17,2,7,2,2831,2236,67.1,116.3,.459,.323,.590,53.3,54.0,10.5,9.3,.548,16.3,39.0,.341
Iona,34,20,14,.588,4.04,-0.02,11,7,11,1,5,9,2733,2595,70.5,111.1,.327,.366,.562,47.1,54.7,9.0,7.4,.521,14.7,32.8,.255
Iowa State,35,23,12,.657,14.50,6.13,11,7,16,1,4,7,2779,2486,70.0,111.7,.330,.438,.569,51.2,58.2,9.0,7.0,.538,15.9,34.2,.241
Iowa,38,25,13,.658,14.22,6.93,9,9,18,2,3,8,2665,2388,66.6,104.2,.416,.310,.516,51.1,63.5,10.3,12.6,.466,15.6,36.4,.304
Fort Wayne,33,16,17,.485,-7.00,-5.32,7,9,10,4,4,10,2213,2178,65.7,100.6,.385,.350,.528,50.2,53.2,11.4,7.5,.501,17.7,31.3,.247
IUPUI,32,6,26,.188,-15.93,-2.79,1,15,3,8,1,13,2096,2451,66.2,97.4,.246,.348,.526,42.2,53.2,8.2,5.9,.505,16.9,23.4,.165
Jackson State,29,11,18,.379,-14.80,-9.52,9,9,6,3,4,14,1920,2073,69.4,94.2,.384,.350,.489,43.2,42.5,11.8,5.8,.445,15.9,27.5,.268
Jacksonville State,28,17,11,.607,-4.48,-4.29,8,8,9,3,6,8,1857,1817,63.8,103.0,.436,.314,.537,43.4,57.0,13.1,11.1,.500,17.4,32.4,.296
Jacksonville,32,14,18,.438,-10.47,-4.74,9,9,10,3,3,13,2181,2300,69.3,96.7,.363,.280,.508,48.4,53.5,9.5,8.5,.468,18.5,33.1,.255
