School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,AdjEM,AdjO,AdjD,AdjT,Luck,SOS AdjEM,OppO,OppD,NCSOS AdjEM
Duquesne,32,10,22,.313,-2.86,0.90,3,15,8,10,1,10,2256,2376,,71.0,99.3,.371,.369,.523,49.4,51.1,6.9,10.0,.489,17.5,29.0,.251,-5.19,101.9,107.1,69.5,-.075,-0.87,103.2,104.1,-8.10
East Carolina,33,15,18,.455,-0.45,1.37,6,12,12,5,1,11,2088,2148,,66.7,94.8,.374,.372,.494,50.4,55.0,7.6,13.2,.458,17.9,30.7,.246,-1.18,97.1,98.3,66.4,+.013,+1.06,105.2,104.1,-10.43
East Tennessee State,35,27,8,.771,7.59,-1.84,14,4,13,2,8,5,2782,2438,,71.4,110.2,.432,.352,.587,53.1,53.8,11.6,13.6,.555,18.0,31.3,.304,+11.49,108.0,96.5,69.7,+.002,-1.39,105.3,106.7,+0.54
Eastern Illinois,29,14,15,.483,-5.15,-4.86,6,10,8,6,6,9,2169,2083,,70.5,102.9,.271,.376,.519,49.0,57.5,9.4,10.7,.487,15.0,30.2,.198,-4.87,100.0,104.9,68.1,-.049,-4.70,102.8,107.5,-3.01
Eastern Kentucky,31,12,19,.387,-8.49,-2.28,5,11,8,6,3,12,2197,2330,,69.7,99.7,.374,.419,.533,46.8,56.3,8.4,10.0,.495,17.3,26.1,.264,-9.47,98.4,107.8,67.1,+.015,-1.63,104.8,106.4,+0.63
Eastern Michigan,33,16,17,.485,0.00,0.35,7,11,10,6,5,10,2566,2409,,71.2,108.4,.350,.301,.538,49.9,48.3,13.4,13.1,.500,14.3,34.3,.254,+1.24,106.1,104.8,67.7,-.078,+0.88,106.7,105.8,+5.62
Eastern Washington,34,22,12,.647,-2.65,-4.30,13,5,15,1,6,10,2695,2592,,68.1,112.3,.342,.375,.587,50.9,44.5,6.6,12.5,.551,15.3,27.3,.263,-1.43,108.7,110.1,66.4,+.092,-5.70,102.7,108.4,+2.12
Elon,32,18,14,.563,0.28,-1.35,10,8,10,4,6,8,2403,2292,,69.2,106.1,.302,.454,.550,50.2,54.8,7.3,6.1,.525,14.6,25.0,.207,+2.21,104.3,102.1,67.3,-.021,-0.47,105.4,105.9,-1.53
Evansville,33,16,17,.485,1.58,2.55,6,12,13,4,2,9,2288,2261,,67.0,102.3,.447,.197,.536,50.6,55.3,7.7,9.1,.490,15.4,27.2,.318,+0.88,104.1,103.2,66.3,-.024,+1.39,104.7,103.3,-2.20
Fairfield,31,16,15,.516,-4.78,-3.88,11,9,7,6,8,8,2251,2279,,71.7,100.4,.272,.421,.536,48.5,56.4,7.4,7.3,.513,16.6,24.2,.186,-3.56,99.3,102.8,68.6,+.052,-3.03,103.5,106.6,-2.44
Fairleigh Dickinson,30,11,19,.367,-9.23,-5.26,9,9,7,4,3,14,2183,2250,,70.2,103.2,.362,.354,.544,47.3,48.5,8.9,7.0,.499,16.5,27.8,.277,-8.97,102.9,111.9,68.6,-.051,-4.93,100.5,105.4,+7.77
Florida,34,26,8,.765,22.79,10.55,14,4,9,1,8,4,2650,2234,,70.3,110.0,.405,.365,.557,51.5,47.7,10.8,11.6,.517,14.5,31.4,.294,+26.39,115.9,89.5,68.5,-.046,+11.61,110.1,98.5,+8.87
Florida A&M,30,7,23,.233,-20.79,-11.75,5,11,4,10,3,11,2153,2365,,72.2,97.7,.373,.299,.508,45.7,49.7,8.9,9.1,.475,16.1,25.8,.246,-22.34,93.7,116.0,68.8,-.085,-12.72,97.7,110.4,-4.02
Florida Atlantic,30,10,20,.333,-7.85,-1.89,6,12,5,9,5,8,2108,2221,,70.2,98.9,.304,.348,.501,47.3,48.8,8.0,7.4,.467,14.2,27.0,.213,-9.32,98.6,108.0,68.4,-.036,-2.41,103.3,105.7,-1.23
Florida Gulf Coast,34,26,8,.765,2.36,-3.32,12,2,16,3,10,3,2701,2356,,69.4,113.7,.329,.315,.579,53.9,52.3,8.7,9.7,.554,15.3,33.6,.231,+5.01,109.5,104.5,64.8,+.051,-4.99,103.6,108.6,+2.69
Florida International,31,7,24,.226,-8.06,-3.23,3,15,6,9,1,13,2178,2282,,66.6,103.1,.291,.307,.540,51.2,43.0,8.8,5.9,.505,17.0,30.5,.218,-9.64,102.9,112.5,64.5,-.171,-3.65,102.0,105.6,-4.41
