School,G,W,L,W-L%,SRS,SOS,ConfW,ConfL,HomeW,HomeL,AwayW,AwayL,Tm.,Opp.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,AdjEM,AdjO,AdjD,AdjT,Luck,SOS AdjEM,OppO,OppD,NCSOS AdjEM
Princeton,31,16,14,.533,-1.12,-2.71,9,5,12,5,4,9,2066,1972,0,673,1455,.463,252,668,.377,468,658,.711,189,913,391,165,90,366,562,65.0,105.9,.452,.459,.584,48.8,58.1,8.5,11.4,.549,17.3,21.2,.322,.5332,105.9,104.6,65.4,-.032,.4278,100.0,102.6,.3841
Providence,33,22,11,.667,14.46,9.73,11,7,14,5,8,6,2317,2161,0,808,1830,.442,161,520,.310,540,761,.710,398,1189,465,238,154,391,607,65.7,106.1,.416,.284,.529,52.8,57.5,10.9,11.8,.486,15.3,35.3,.295,.8455,110.7,95.5,65.7,+.043,.7311,107.2,98.3,.5805
Purdue,33,21,12,.636,13.29,7.80,12,6,14,4,7,8,2310,2129,0,801,1768,.453,191,571,.335,515,752,.685,388,1198,492,180,176,432,624,65.1,106.8,.425,.323,.543,53.3,61.4,8.3,14.7,.507,17.1,36.2,.291,.7779,108.3,97.2,64.5,+.010,.6484,106.1,100.6,.4192
Quinnipiac,30,15,15,.500,-1.48,-3.68,9,11,10,7,5,8,2092,2026,0,715,1813,.394,165,537,.307,497,643,.773,491,1361,416,107,173,416,570,66.4,102.3,.355,.296,.494,57.9,58.2,5.2,13.6,.440,16.6,42.1,.274,.4414,100.1,102.2,67.2,-.091,.3614,98.6,103.6,.3594
Radford,32,21,11,.656,-4.29,-5.57,12,6,13,4,8,7,2327,2166,0,834,1817,.459,203,594,.342,456,661,.690,393,1156,426,219,135,381,566,65.4,109.4,.364,.327,.546,51.9,51.1,10.3,11.0,.515,15.3,35.9,.251,.4466,104.2,106.2,64.7,+.077,.3936,101.0,104.9,.5261
Rhode Island,32,23,9,.719,9.82,2.88,13,5,15,2,8,7,2167,1912,0,753,1675,.450,141,469,.301,520,791,.657,354,1149,420,211,179,438,659,66.3,101.7,.472,.280,.528,52.4,55.8,9.9,14.8,.492,17.8,33.0,.310,.7778,101.6,91.1,66.3,+.003,.5479,102.1,100.4,.4530
Rice,32,12,20,.375,-2.62,-0.55,8,10,7,8,5,12,2052,2107,0,679,1615,.420,289,797,.363,405,548,.739,276,1019,405,190,70,459,606,62.8,99.4,.339,.493,.547,48.8,59.6,9.2,8.6,.510,19.8,27.4,.251,.4161,100.5,103.5,62.5,-.062,.4805,102.0,102.7,.4683
Richmond,32,19,13,.594,8.70,3.80,12,6,14,4,5,9,2092,1935,0,758,1658,.457,216,629,.343,360,524,.687,227,931,429,226,102,319,544,61.4,104.5,.316,.379,.549,45.7,56.6,11.3,9.9,.522,14.5,23.0,.217,.7834,106.1,94.9,61.7,-.081,.5979,104.0,100.5,.5091
Rider,33,21,12,.636,-1.57,-3.09,15,5,10,5,11,7,2153,2103,0,784,1790,.438,200,599,.334,385,638,.603,357,1131,400,234,87,413,591,64.6,100.0,.356,.335,.514,50.3,51.0,10.9,7.3,.494,16.6,31.1,.215,.4954,98.7,98.9,64.9,+.087,.4075,100.0,103.4,.4558
Robert Morris,33,19,14,.576,-2.97,-4.24,12,6,10,6,9,8,2277,2235,0,802,1798,.446,211,555,.380,462,647,.714,344,1103,404,282,97,454,612,66.7,102.7,.360,.309,.541,48.3,50.4,12.7,7.8,.505,17.9,31.3,.257,.4623,101.0,102.4,65.6,+.037,.3852,100.6,104.8,.5768
Rutgers,32,10,22,.313,0.52,8.39,2,16,7,11,3,11,1898,2150,0,687,1751,.392,152,515,.295,372,570,.653,359,1118,343,178,118,417,530,64.9,91.3,.326,.294,.469,49.0,49.9,8.6,9.5,.436,17.2,30.5,.212,.3882,96.2,100.1,65.7,+.036,.6843,105.9,99.1,.5133
SIU Edwardsville,28,12,16,.429,-7.33,-4.60,8,8,11,3,1,13,1909,1884,0,660,1532,.431,198,521,.380,391,579,.675,292,969,345,178,120,375,518,67.3,100.8,.378,.340,.528,49.5,52.3,9.4,11.9,.495,17.3,30.0,.255,.3366,96.2,102.1,66.6,-.043,.3919,101.1,105.0,.3802
Sacramento State,31,20,11,.645,-5.06,-5.89,13,5,13,1,7,10,2196,2106,0,788,1621,.486,195,478,.408,425,578,.735,261,918,443,223,73,339,530,63.6,111.4,.357,.295,.579,48.4,56.2,11.3,6.4,.546,15.3,28.1,.262,.4200,106.4,109.5,62.3,+.083,.3512,101.3,106.9,.4304
Sacred Heart,32,15,17,.469,-7.15,-5.76,9,9,10,5,5,12,2360,2367,0,874,1911,.457,169,529,.319,443,685,.647,401,1225,469,210,110,439,588,69.2,103.7,.358,.277,.528,51.0,53.7,9.2,8.0,.502,16.6,34.0,.232,.3518,102.0,107.6,69.0,-.014,.3518,99.4,104.8,.4358
Saint Francis (PA),32,16,16,.500,-5.48,-4.77,9,9,10,3,6,13,2061,2050,0,724,1653,.438,226,677,.334,387,576,.672,267,998,376,209,83,398,507,63.8,100.2,.348,.410,.535,47.8,51.9,10.2,8.5,.506,17.3,25.8,.234,.3755,98.0,102.4,63.1,+.017,.4179,100.5,103.4,.6213
