School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
Georgia State,34,29,5,.853,5.25,-3.72,16,2,16,0,10,4,2701,2337,110.8,.391,.377,.551,49.8,48.3,14.4,9.4,.516,15.1,36.3,.274
Georgia Tech,30,17,13,.567,14.51,11.78,8,8,12,3,3,8,2269,2187,100.2,.363,.384,.531,48.4,62.9,10.5,10.8,.497,18.2,30.3,.251
Georgia,31,16,15,.516,12.67,12.71,9,7,9,4,5,7,2257,2258,104.8,.347,.226,.532,53.2,55.7,9.1,12.2,.503,18.6,36.5,.234
Gonzaga,33,26,7,.788,12.57,0.32,13,1,13,1,9,5,2720,2271,116.3,.528,.338,.606,53.6,58.7,8.2,10.2,.579,17.4,35.0,.360
Grambling,26,8,18,.308,-19.88,-10.18,8,10,5,4,3,14,1953,2225,101.3,.352,.289,.505,48.1,43.6,10.2,9.4,.465,18.4,35.5,.248
Green Bay,28,11,17,.393,-2.15,2.56,4,10,8,7,3,9,1632,1764,96.3,.402,.249,.517,48.3,51.0,7.3,7.1,.475,18.6,29.1,.281
Hampton,32,25,7,.781,-3.67,-10.60,14,4,10,1,11,5,2471,2246,107.6,.452,.311,.551,51.7,52.8,9.5,13.6,.515,17.9,38.2,.309
Hartford,28,4,24,.143,-16.83,-5.79,1,17,3,11,1,12,1821,2130,93.9,.397,.325,.498,49.1,51.4,8.8,6.9,.463,20.5,36.6,.258
Harvard,26,14,12,.538,-6.90,-8.51,7,7,10,3,4,9,1864,1822,97.2,.309,.363,.531,49.7,60.4,13.6,6.4,.505,20.4,30.7,.208
Hawaii,31,17,14,.548,6.89,7.25,8,8,13,5,2,8,2254,2265,102.5,.391,.298,.558,49.9,69.9,8.3,5.7,.520,20.4,33.8,.284
High Point,28,8,20,.286,-18.26,-7.98,3,11,8,5,0,15,1681,1903,88.8,.325,.306,.470,47.0,53.9,13.0,5.7,.437,21.0,34.5,.211
Hofstra,31,26,5,.839,5.11,-5.47,16,2,12,1,11,2,2257,1929,103.5,.487,.304,.553,54.2,52.8,10.9,10.3,.524,20.0,36.4,.315
Holy Cross,30,22,8,.733,-0.31,-5.84,10,2,13,1,9,6,2034,1868,101.1,.654,.270,.540,55.6,60.2,9.3,14.3,.493,21.4,39.9,.430
Houston,29,9,20,.310,-1.33,4.91,6,10,6,7,1,12,1897,2078,95.5,.471,.233,.500,51.6,49.8,8.3,6.7,.450,19.6,36.4,.325
Howard,28,10,18,.357,-19.91,-10.37,8,10,6,4,4,12,1914,2181,94.7,.421,.339,.499,50.0,52.8,9.8,4.4,.449,18.0,39.2,.300
Idaho State,28,14,14,.500,-2.10,-1.41,10,6,8,6,5,6,2074,2044,106.0,.353,.378,.560,49.4,60.9,7.4,7.5,.521,17.6,30.7,.266
Idaho,27,6,21,.222,-12.18,-0.02,3,13,5,9,1,12,1720,1992,90.2,.397,.329,.471,46.3,50.7,9.9,6.1,.432,17.8,29.5,.255
Illinois-Chicago,28,11,17,.393,-0.05,3.55,5,9,9,6,2,10,1901,2002,97.6,.410,.219,.478,49.8,58.1,8.5,5.9,.437,15.0,35.3,.268
Illinois State,30,21,9,.700,5.96,0.56,12,6,13,2,7,6,2257,2095,105.7,.473,.255,.557,49.4,54.3,11.5,7.6,.510,17.0,30.2,.344
Illinois,35,27,8,.771,23.32,11.38,13,3,13,0,7,4,2725,2307,108.4,.430,.331,.553,54.8,59.2,10.7,11.6,.514,17.5,38.4,.303
Indiana State,34,22,12,.647,6.95,2.50,10,8,12,2,5,8,2479,2305,.412,.317,.554,47.7,60.5,7.1,.517,15.2,29.2,.291
Indiana,34,21,13,.618,17.58,11.05,10,6,13,2,4,6,2408,2186,100.8,.424,.264,.529,51.4,59.8,9.7,12.8,.500,17.9,31.5,.270
Iona,33,22,11,.667,0.25,-4.09,12,6,12,2,8,6,2549,2375,104.2,.434,.219,.557,51.4,52.7,10.6,13.0,.523,19.6,33.5,.299
Iowa State,31,25,6,.806,15.90,4.87,13,3,16,0,6,4,2451,2115,109.6,.493,.251,.572,56.3,52.1,8.5,8.1,.527,17.9,36.2,.359
Iowa,35,23,12,.657,14.24,10.70,7,9,12,4,5,6,2593,2469,106.1,.564,.302,.540,54.7,58.2,7.8,6.6,.485,17.8,38.6,.397
IUPUI,29,11,18,.379,-5.26,-3.37,6,10,7,6,3,11,2057,2008,102.9,.464,.243,.520,50.8,48.8,11.0,8.8,.473,17.5,36.5,.325
Jackson State,30,7,23,.233,-18.35,-10.35,7,11,4,5,3,16,2012,2247,92.3,.352,.203,.480,49.5,47.4,8.8,5.3,.445,19.6,35.9,.232
Jacksonville State,28,9,19,.321,-14.43,-5.72,6,12,7,4,0,12,1819,2059,92.5,.365,.332,.499,51.1,62.6,9.4,8.0,.466,22.1,37.0,.239
Jacksonville,28,18,10,.643,-5.83,-8.31,11,7,12,2,6,7,1962,1784,104.6,.371,.311,.539,51.0,49.9,11.9,13.7,.509,18.6,36.9,.249
James Madison,29,12,17,.414,-5.06,-1.85,6,10,9,5,3,11,1880,1973,96.4,.374,.281,.492,50.9,49.5,9.4,7.3,.454,18.5,37.1,.251
Kansas State,29,11,18,.379,3.95,8.40,4,12,8,7,2,10,1843,1972,91.8,.385,.184,.479,51.1,52.2,7.8,8.6,.442,19.1,34.4,.250
Kansas,33,26,7,.788,20.23,9.03,12,4,14,1,8,4,2707,2286,110.2,.395,.233,.571,54.9,64.0,8.8,12.4,.548,18.3,38.7,.261
Kent State,34,24,10,.706,8.69,1.44,13,5,10,2,7,5,2390,2117,108.3,.385,.269,.527,48.4,52.1,10.6,8.3,.476,13.2,34.0,.294
Kentucky,34,24,10,.706,20.27,11.06,12,4,11,1,6,6,2713,2400,110.2,.366,.345,.563,51.9,54.6,9.3,10.8,.541,17.6,39.2,.240
La Salle,29,12,17,.414,2.21,4.79,5,11,7,4,3,12,2011,2086,100.3,.323,.358,.505,49.7,52.4,8.3,10.4,.472,17.4,37.4,.220
